month	affecting	published_by
2025-01	0	0
2025-02	0	0
2025-03	1	1
2025-04	0	0
2025-05	0	0
2025-06	1	1
2025-07	0	0
2025-08	0	0
2025-09	0	0
2025-10	0	0
2025-11	0	0
2025-12	0	0
2026-01	0	0
2026-02	0	0
2026-03	0	0
2026-04	0	0
2026-05	2	2
2026-06	13	11
2026-07	53	53
2026-08	19	13
2026-09	0	0
