snapshot_date	affecting	published_by
2026-09-05	96	86
2026-09-06	95	86
2026-09-07	96	86
2026-09-08	96	86
2026-09-14	96	86
2026-09-16	96	86
2026-09-17	96	86
2026-09-18	101	90
2026-09-19	101	90
2026-09-20	101	90
2026-09-21	101	90
2026-09-22	101	90
2026-09-23	101	90
2026-09-24	101	90
2026-09-25	101	90
2026-09-26	101	90
